N,оценочно,погрешность
30600,0.946457098039216,0.0020538664290209
31100,0.945962803858521,0.00153053642711713
31600,0.945523848101266,0.00106579553747727
32100,0.945528423676013,0.00107063989056587
32600,0.945378944785276,0.000912380313114019
33100,0.945385570996979,0.000919395761643499
33600,0.945317333333333,0.000847149682202788
34100,0.945582170087977,0.00112754347344013
34600,0.945839352601156,0.00139983339787884
35100,0.945767566951567,0.00132383091675857
35600,0.946085393258427,0.00166032697167924
36100,0.94618592797784,0.00176676730004306
36600,0.945769617486339,0.00132600190401255
37100,0.946311245283019,0.00189944599244839
37600,0.94593770212766,0.00150396017076523
38100,0.945672734908137,0.0012234282508819
38600,0.945674611398964,0.0012254149705048
39100,0.945772685421995,0.00132925005629817
39600,0.945773252525253,0.00132985047232664
40100,0.945992778054863,0.0015622713672427
40600,0.946052413793104,0.00162541022710764
41100,0.945988515815085,0.00155775875504114
41600,0.946378461538462,0.00197061066414115
42100,0.946073843230404,0.00164809847208638
42600,0.946011943661972,0.00158256280015152
43100,0.945776853828306,0.00133366332306936
43600,0.946065027522936,0.00163876491246511
44100,0.94592,0.00148521818499327
44600,0.945609470852018,0.0011564479385457
45100,0.94561177827051,0.00115889089937944
45600,0.945614035087719,0.00116128028651091
46100,0.945425770065076,0.000961956202784403
46600,0.945241545064378,0.00076690945991035
47100,0.944768271762208,0.000265835144656974
47600,0.94528,0.000807623314773294
48100,0.945311667359668,0.000841150877998375
48600,0.945368493827161,0.000901315444976517
49100,0.945040945010184,0.000554525760398012
49600,0.944795870967742,0.000295055582300546
50100,0.944680878243513,0.000173307957222149
50600,0.944716901185771,0.000211446958603453
51100,0.944752219178082,0.000248839599879595
51600,0.94471392248062,0.000208293278400601
52100,0.944917128598849,0.0004234361273205
52600,0.94466336121673,0.000154761945519678
53100,0.945312060263654,0.00084156686194433
53600,0.945363582089552,0.000896115182152802
54100,0.944857670979667,0.000360485849582023
54600,0.944843487179487,0.000345468864828562
55100,0.944647433756806,0.000137898874987908
55600,0.94472564028777,0.000220699412798709
56100,0.945026053475936,0.000538759467873313
56600,0.944589795053004,7.68743593276914e-05
57100,0.944732357267951,0.000227810961727043
57600,0.944524,7.21437432607498e-06
58100,0.944729445783133,0.000224728450511989
58600,0.944610293515359,9.85769420449512e-05
59100,0.944514382402707,2.96817971979794e-06
59600,0.944693691275168,0.000186873651786603
60100,0.945036991680533,0.00055034020431721
60600,0.945291828382838,0.000820146520295536
61100,0.945029237315876,0.000542130332890087
61600,0.945218909090909,0.000742943804434133
62100,0.944900534621578,0.000405867386890995
62600,0.944787629392971,0.000286329881070555
63100,0.944815670364501,0.000316018034921284
63600,0.944764377358491,0.000261711975935804
64100,0.944635606864275,0.000125377247316363
64600,0.944761263157895,0.000258414841016149
65100,0.944865720430108,0.000369008140716969
65600,0.944892097560976,0.000396934716603518
66100,0.945012962178517,0.000524899161661851
66600,0.945019003003003,0.000531294836167222
67100,0.945099731743666,0.000616765743280603
67600,0.945142153846154,0.000661679804264512
68100,0.945128693098385,0.000647428345455435
68600,0.944932571428572,0.000439786099511088
69100,0.945047895803184,0.000561884856774498
69600,0.945125517241379,0.000644065932306496
70100,0.944790459343795,0.00028932606882192
70600,0.944797733711048,0.000297027746845529
71100,0.944910762306611,0.000416695866441091
71600,0.94493461452514,0.00044194921162674
72100,0.944975533980583,0.000485272357095877
72600,0.944843107438017,0.000345066816590179
73100,0.945038533515732,0.000551972609976218
73600,0.945146086956522,0.000665843953341473
74100,0.944879762483131,0.000383875051804439
74600,0.944650638069705,0.000141291415586509
75100,0.944658407456724,0.000149517191819366
75600,0.944682666666667,0.000175201435901394
76100,0.944673639947438,0.000165644469269292
76600,0.944779362924282,0.000277577823603902
77100,0.944802365758755,0.000301931890227983
77600,0.944889731958763,0.000394430154221701
78100,0.944783241997439,0.000281684761217269
78600,0.944869618320611,0.000373135001044603
79100,0.944891469026549,0.000396269260816866
79600,0.944834251256282,0.000335690405162842
80100,0.944777747815231,0.00027586783984165
80600,0.945095464019851,0.000612247324898469
81100,0.945084448828607,0.000600585079458246
81600,0.945196549019608,0.000719270258166267
82100,0.945230889159562,0.000755627606096282
82600,0.945097762711865,0.000614681046642878
83100,0.945011523465704,0.00052337593600231
83600,0.944926315789474,0.000433162991757075
84100,0.944916699167658,0.000422981470489103
84600,0.944595820330969,8.32535740796647e-05
85100,0.944691440658049,0.000184490828951775
85600,0.944654056074767,0.000144910201049024
86100,0.944777365853659,0.000275463441088431
86600,0.944609551963049,9.77918294804872e-05
87100,0.944659692307692,0.000150877517483244
87600,0.944480146118722,3.92155709764302e-05
88100,0.944388068104427,0.000136702430579716
88600,0.944155449209932,0.000382985820619919
89100,0.944094383838384,0.000447638293290622
89600,0.944202,0.000333700544753353
90100,0.943932519422864,0.000619010945833951
90600,0.943901386313466,0.000651972875868164
91100,0.94385682546652,0.000699151315403849
91600,0.943840139737991,0.00071681719674321
92100,0.943755535287731,0.000806391480328018
92600,0.943875041036717,0.000679865726461062
93100,0.943669894736842,0.000897062727148394
93600,0.943708170940171,0.000856538103668508
94100,0.943746040382572,0.000816444135060892
94600,0.943571348837209,0.00100139740851146
95100,0.943517207150368,0.00105871948549379
95600,0.943450510460251,0.00112933407156224
96100,0.943214817898023,0.00137887168267927
96600,0.943124405797102,0.00147459476985127
97100,0.943189948506694,0.00140520195141339
97600,0.943254819672131,0.00133652012496753
98100,0.943101651376147,0.00149868583065406
98600,0.942835537525355,0.00178043173720234
99100,0.943027794147326,0.00157688157968162
99600,0.942915855421687,0.00169539580823172
