size,merge,hybrid
71600,7,6
71700,7,6
71800,7,6
71900,8,7
72000,8,7
72100,9,7
72200,10,8
72300,10,8
72400,10,8
72500,10,8
72600,10,8
72700,10,8
72800,10,8
72900,10,8
73000,10,8
73100,11,9
73200,10,8
73300,11,8
73400,11,9
73500,11,9
73600,10,8
73700,10,8
73800,10,8
73900,10,8
74000,10,8
74100,10,8
74200,10,8
74300,10,8
74400,10,8
74500,10,8
74600,10,8
74700,10,8
74800,10,8
74900,10,8
75000,10,8
75100,10,8
75200,10,9
75300,10,8
75400,10,9
75500,11,9
75600,11,10
75700,11,9
75800,10,9
75900,10,9
76000,10,9
76100,10,9
76200,11,9
76300,10,9
76400,11,9
76500,11,9
76600,11,9
76700,11,9
76800,11,9
76900,11,9
77000,11,9
77100,11,9
77200,11,9
77300,11,9
77400,11,9
77500,11,9
77600,11,9
77700,11,9
77800,10,8
77900,10,8
78000,9,7
78100,9,7
78200,9,7
78300,9,7
78400,8,7
78500,8,7
78600,9,7
78700,9,7
78800,10,8
78900,10,8
79000,11,9
79100,11,9
79200,11,9
79300,11,9
79400,11,9
79500,11,9
79600,11,9
79700,11,9
79800,11,9
79900,11,9
80000,11,9
80100,11,9
80200,11,9
80300,11,9
80400,11,9
80500,11,9
80600,11,9
80700,11,9
80800,11,9
80900,11,9
81000,11,9
81100,11,9
81200,11,9
81300,11,9
81400,11,9
81500,11,9
81600,14,12
81700,13,10
81800,11,9
81900,11,9
82000,11,9
82100,11,9
82200,11,9
82300,10,9
82400,10,8
82500,10,8
82600,10,8
82700,10,8
82800,9,8
82900,9,8
83000,9,8
83100,9,8
83200,10,8
83300,10,8
83400,9,8
83500,10,8
83600,9,8
83700,9,8
83800,9,8
83900,10,8
84000,10,8
84100,10,8
84200,10,8
84300,10,8
84400,10,8
84500,11,9
84600,11,9
84700,10,8
84800,10,8
84900,10,8
85000,11,9
85100,10,8
85200,10,8
85300,10,8
85400,10,8
85500,10,8
85600,10,8
85700,10,8
85800,10,8
85900,11,9
86000,10,8
86100,10,8
86200,10,8
86300,11,9
86400,11,9
86500,12,9
86600,12,10
86700,12,10
86800,12,10
86900,12,10
87000,13,11
87100,12,9
87200,11,9
87300,11,9
87400,10,8
87500,9,8
87600,9,8
87700,9,8
87800,9,8
87900,11,9
88000,12,10
88100,12,10
88200,12,9
88300,13,11
88400,13,11
88500,13,10
88600,14,11
88700,18,13
88800,15,12
88900,14,11
89000,12,10
89100,13,11
89200,13,10
89300,13,10
89400,13,10
89500,13,10
89600,11,9
89700,11,9
89800,11,9
89900,11,9
90000,12,10
90100,13,11
90200,14,11
90300,13,11
90400,13,11
90500,13,11
90600,13,11
90700,13,11
90800,13,11
