N,оценочно,погрешность
39600,0.961165713732913,0.0176264954010285
40100,0.962515704273026,0.0190557870648188
40600,0.961437829047372,0.0179145953091314
41100,0.964880597577695,0.0215595988958525
41600,0.964267618998276,0.0209106127380876
42100,0.96182176371908,0.0183210830654572
42600,0.962400171883409,0.0189334680733368
43100,0.963867446304251,0.0204869331057855
43600,0.962625250406725,0.0191717681558293
44100,0.966040810766625,0.0227879653101963
44600,0.962840235722716,0.0193993821359677
45100,0.960572900564925,0.0169988592109858
45600,0.961126949235485,0.0175854538000848
46100,0.96187987181677,0.0183826045481338
46600,0.959278564830216,0.0156284916263277
47100,0.958590220276392,0.0148997123472414
47600,0.958937569510988,0.0152674655652684
48100,0.959277697347776,0.015627573186247
48600,0.958010475071872,0.0142859117587774
49100,0.957363082330407,0.0136004898827857
49600,0.953984590584334,0.0100235388261934
50100,0.956495172099659,0.0126815968825267
50600,0.954729121746896,0.0108118052269287
51100,0.956993030404068,0.0132087003718454
51600,0.954125900699959,0.0101731497784709
52100,0.952246828759364,0.00818369742265648
52600,0.953545615814502,0.00955877780714075
53100,0.951341213223688,0.00722488423302263
53600,0.951173152015257,0.00704695077565496
54100,0.950828490534247,0.0066820431951943
54600,0.950490141534574,0.00632381890375296
55100,0.950334378468743,0.00615890600628898
55600,0.950356275457243,0.00618208926735292
56100,0.948818081169745,0.00455353839452449
56600,0.947478832646249,0.0031356197547267
57100,0.948206219498996,0.00390573475486224
57600,0.947570681447355,0.00323286393670359
58100,0.947113416614417,0.00274873845993697
58600,0.947659395477092,0.00332678920462006
59100,0.948689645558081,0.00441755822012247
59600,0.950355101909858,0.00618084678346543
60100,0.950213420959526,0.00603084321291427
60600,0.950876234410602,0.00673259164160476
61100,0.950414370854542,0.00624359730359163
61600,0.948697390024391,0.00442575761175425
62100,0.947634282377012,0.00330020091119902
62600,0.949073048258825,0.00482348275645475
63100,0.949102337286805,0.00485449228006918
63600,0.948519710703968,0.00423764105540674
64100,0.949007873173672,0.00475447915744575
64600,0.948434996724572,0.00414795080872711
65100,0.94891631118383,0.00465753863459559
65600,0.948501068780447,0.00421790406829847
66100,0.948533355125451,0.00425208697728716
66600,0.949441024794554,0.00521307496422205
67100,0.949900496586844,0.00569953704151396
67600,0.948627348508539,0.00435160171824841
68100,0.949086047413175,0.00483724550693086
68600,0.947128784070877,0.00276500863129001
69100,0.947310295007412,0.0029571818804848
69600,0.948466999058149,0.00418183302289361
70100,0.948497686109017,0.00421432269203565
70600,0.948114816574676,0.00380896264135851
71100,0.948694504300803,0.00442270237503537
71600,0.947636687569023,0.00330274738896249
72100,0.946593542359182,0.00219832575914582
72600,0.946903902724546,0.00252691730834884
73100,0.947343015149959,0.00299182406914536
73600,0.947908255612459,0.0035902678782558
74100,0.947022635940445,0.00265262514900159
74600,0.946279211384074,0.00186553035870154
75100,0.946063509442569,0.0016371576570443
75600,0.946236459747181,0.00182026740580743
76100,0.945768363664414,0.00132467443009901
76600,0.946575586845781,0.00217931550325112
77100,0.947876731176807,0.0035568916346868
